accident_index,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,hour_of_day,road_type,speed_limit,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,vehicle_type
ACC000064,3,2,2,6,16,2,40,0,5,1,1,1,3
ACC000065,3,1,3,7,20,9,40,0,1,2,4,1,1
ACC000066,2,3,1,4,5,3,30,2,4,1,2,2,9
ACC000067,3,2,1,7,15,2,70,1,4,4,1,2,1
ACC000068,1,3,1,4,12,1,30,0,1,1,1,2,9
ACC000069,3,2,2,7,10,1,30,2,1,9,1,1,9
ACC000070,3,3,2,4,18,2,30,1,6,4,3,2,5
ACC000071,3,1,1,5,3,2,30,1,4,1,1,2,1
ACC000072,3,1,1,1,14,1,30,0,6,1,1,2,11
ACC000073,3,2,2,4,21,3,40,2,4,4,1,1,4
ACC000074,3,2,1,2,10,2,60,1,4,3,2,1,5
ACC000075,2,1,1,3,0,12,70,0,6,3,1,1,11
ACC000076,3,2,1,4,17,12,40,2,5,4,2,1,1
ACC000077,3,2,2,6,0,2,30,2,1,1,1,1,3
ACC000078,3,3,1,2,12,3,60,2,4,1,3,1,11
ACC000079,3,2,2,3,18,2,30,0,1,1,2,1,3
ACC000080,3,2,2,1,16,2,30,1,6,5,1,2,11
ACC000081,1,3,2,3,11,7,60,0,6,2,1,2,3
ACC000082,3,3,1,6,6,12,60,0,1,1,1,1,1
ACC000083,3,1,3,6,15,6,30,2,1,1,2,1,3
ACC000084,3,3,2,7,10,2,40,0,4,1,2,2,1
ACC000085,3,2,5,7,10,9,50,0,1,1,3,1,1
ACC000086,3,1,1,7,5,9,60,0,1,3,1,1,1
ACC000087,2,3,1,3,13,2,30,0,1,2,1,1,1
ACC000088,2,2,1,5,12,2,30,2,1,5,2,2,2
ACC000089,3,2,1,3,12,9,70,0,1,2,2,2,9
ACC000090,3,2,1,5,21,9,30,1,1,1,2,1,11
ACC000091,3,4,4,5,22,1,30,1,5,3,1,2,1
ACC000092,3,2,1,3,15,1,60,0,5,4,5,1,1
ACC000093,2,4,2,4,12,3,70,2,6,2,1,2,9
ACC000094,3,1,1,4,12,2,50,2,1,4,1,1,9
ACC000095,3,2,1,2,23,3,30,1,1,2,1,2,1
ACC000096,2,2,2,5,19,9,60,0,1,2,1,1,1
ACC000097,3,2,2,7,21,2,60,1,4,1,3,1,1
ACC000098,1,3,2,5,7,1,40,1,1,1,1,2,4
ACC000099,2,1,1,3,20,12,30,0,5,1,1,2,3
ACC000100,3,2,1,3,22,6,20,1,6,1,1,2,9
ACC000101,3,1,1,3,8,2,30,0,1,2,1,1,1
ACC000102,3,2,1,5,17,3,30,0,1,1,4,2,1
ACC000103,3,2,1,5,20,2,50,1,7,2,3,1,1
ACC000104,3,2,1,7,11,2,60,2,4,6,1,2,1
ACC000105,3,1,4,3,17,9,70,2,5,1,1,2,5
ACC000106,3,2,2,2,15,1,30,0,1,1,3,1,1
ACC000107,3,1,2,5,13,12,60,4,4,4,2,1,3
ACC000108,3,2,1,2,9,7,70,0,1,1,2,2,1
ACC000109,3,2,1,1,19,9,70,0,4,1,2,2,11
ACC000110,1,2,3,3,17,1,70,1,5,1,2,2,5
ACC000111,2,2,1,1,11,12,70,1,4,1,1,1,1
ACC000112,2,3,1,6,10,12,30,0,1,6,2,1,4
ACC000113,3,2,1,4,12,2,50,0,1,4,2,2,5
ACC000114,3,3,1,1,11,12,50,4,7,2,3,2,9
ACC000115,3,2,5,4,12,7,70,1,6,5,1,2,9
ACC000116,2,4,1,6,7,9,30,0,1,4,1,1,3
ACC000117,2,2,1,5,9,2,30,0,4,1,1,1,1
ACC000118,3,1,2,7,14,2,40,1,5,6,2,1,3
ACC000119,3,2,2,1,17,12,30,1,4,2,2,2,5
ACC000120,2,3,3,4,12,3,60,0,1,4,1,1,1
ACC000121,3,2,4,6,18,2,60,4,1,6,2,1,1
ACC000122,2,2,5,1,10,9,70,0,5,1,2,1,3
ACC000123,3,2,5,3,6,1,70,0,1,1,1,2,11
ACC000124,3,1,3,7,19,3,70,2,1,1,1,1,11
ACC000125,2,2,1,4,14,9,30,0,1,1,4,1,1
ACC000126,1,3,1,5,7,2,30,0,5,4,2,1,1
ACC000127,2,2,3,4,18,9,30,2,1,5,2,1,1
ACC000128,3,2,5,4,11,2,30,0,4,1,4,1,4
ACC000129,3,2,1,7,15,3,20,0,4,2,1,1,1
ACC000130,2,2,1,2,22,2,30,2,6,1,1,1,5
ACC000131,3,2,1,4,7,7,30,1,4,1,1,1,4
ACC000132,2,1,4,7,3,2,30,1,4,1,1,2,1
ACC000133,3,2,1,6,16,2,30,2,7,1,3,1,11
ACC000134,3,2,1,4,10,9,60,0,1,7,1,2,1
ACC000135,3,2,1,6,9,1,60,1,1,1,1,1,5
ACC000136,3,2,3,1,12,2,70,0,1,2,1,1,1
ACC000137,2,1,1,4,6,1,30,0,4,3,5,1,11
ACC000138,3,2,1,6,15,2,30,0,1,1,2,2,9
ACC000139,3,1,2,7,9,2,30,2,4,8,2,2,1
ACC000140,3,2,2,4,11,2,30,0,7,8,1,2,2
ACC000141,3,2,3,1,10,2,70,1,1,1,1,1,4
ACC000142,3,2,2,3,4,2,40,0,4,2,3,2,2
ACC000143,3,2,1,2,9,12,30,0,1,1,2,2,3
ACC000144,3,2,1,4,7,12,20,0,1,1,1,2,9
ACC000145,2,1,3,2,13,12,30,4,5,1,2,1,4
ACC000146,3,2,3,5,17,2,30,0,1,2,1,1,3
ACC000147,3,1,2,3,15,1,30,0,4,2,1,1,3
ACC000148,3,1,3,2,14,1,50,1,5,1,2,1,1
ACC000149,2,2,1,5,15,7,60,1,1,1,1,1,1
ACC000150,3,1,2,3,8,1,30,1,1,6,3,2,5
ACC000151,3,1,2,2,11,6,50,2,1,1,2,1,3
ACC000152,3,3,1,5,7,3,30,0,5,1,3,1,1
ACC000153,3,3,1,5,19,9,30,2,7,2,1,2,1
ACC000154,3,2,5,3,12,2,70,1,4,9,2,2,3
ACC000155,2,3,1,6,21,3,70,2,5,1,2,1,9
ACC000156,2,2,2,4,4,2,60,0,1,2,2,2,11
ACC000157,3,2,3,3,14,12,20,1,4,4,2,1,1
ACC000158,3,3,1,5,13,2,30,4,4,1,2,2,9
ACC000159,3,4,2,5,16,12,30,1,1,3,1,1,1
ACC000160,3,2,1,1,10,1,30,1,4,1,3,1,11
ACC000161,3,1,2,2,12,9,50,2,6,2,1,1,3
ACC000162,3,2,1,1,21,6,70,2,1,2,4,2,1
ACC000163,3,2,3,5,19,1,30,2,6,2,3,1,1
ACC000164,3,1,4,6,16,3,30,0,6,1,2,2,9
ACC000165,3,2,3,2,17,2,60,1,1,5,4,1,3
ACC000166,3,2,1,1,15,3,50,1,5,1,2,1,1
ACC000167,3,1,1,2,12,9,50,0,1,1,3,1,9
ACC000168,3,3,1,5,13,12,50,1,4,1,1,2,5
ACC000169,3,2,1,4,14,7,70,1,1,2,1,2,11
ACC000170,2,2,1,2,6,9,30,2,1,2,2,2,1
ACC000171,3,1,1,2,5,2,60,2,4,1,1,2,1
ACC000172,1,3,2,3,17,2,50,0,5,2,2,2,1
ACC000173,3,1,2,6,18,6,20,1,7,1,1,1,5
ACC000174,2,2,2,7,4,12,30,0,6,2,5,2,1
ACC000175,1,2,1,2,19,2,60,2,5,1,2,2,9
ACC000176,3,3,4,3,18,6,60,0,7,2,1,2,3
ACC000177,2,4,1,6,12,2,30,1,4,1,1,2,11
ACC000178,3,2,4,2,12,9,30,0,7,7,2,1,9
ACC000179,3,2,3,4,13,2,70,0,1,1,3,1,9
ACC000180,2,4,2,7,9,12,60,1,1,1,1,1,11
ACC000181,3,3,1,2,11,2,70,0,4,1,1,1,11
ACC000182,3,2,1,4,12,2,50,0,1,6,4,1,3
ACC000183,2,3,1,3,18,2,30,1,1,5,5,1,1
ACC000184,2,2,2,3,17,1,30,1,1,1,1,1,1
ACC000185,2,2,4,3,19,9,50,0,1,2,1,2,5
ACC000186,1,1,1,7,19,2,30,0,1,4,2,2,9
ACC000187,3,3,1,3,21,1,60,0,1,2,2,1,3
ACC000188,1,2,1,2,12,7,50,0,1,2,2,1,1
ACC000189,2,4,3,5,19,2,50,2,1,1,1,1,5
ACC000190,3,3,2,6,14,9,30,1,1,1,1,1,1
ACC000191,3,2,1,5,7,9,30,1,4,6,2,1,1
ACC000192,3,2,1,3,13,3,30,1,1,6,1,1,3
ACC000193,3,1,1,2,13,3,70,0,1,2,1,2,1
ACC000194,3,3,1,4,19,1,40,0,4,1,2,2,9
ACC000195,3,2,1,7,20,12,40,1,4,1,1,2,11
ACC000196,3,2,1,5,16,2,30,1,1,3,2,2,1
ACC000197,3,2,1,3,10,1,40,2,5,6,2,2,1
ACC000198,3,2,1,3,18,7,70,4,1,5,1,1,1
ACC000199,3,1,1,7,17,12,30,0,1,4,2,2,4
ACC000200,2,2,1,1,12,7,70,2,1,2,2,1,1
ACC000201,2,1,2,1,7,12,50,1,1,1,1,2,3
ACC000202,2,2,1,5,15,7,70,1,5,1,2,1,2
ACC000203,3,1,1,1,13,3,30,2,6,6,1,1,1
ACC000204,3,4,2,1,17,1,40,2,1,2,1,1,11
ACC000205,3,2,2,4,18,7,60,0,4,1,1,2,9
ACC000206,3,3,1,1,6,12,60,2,4,1,2,2,1
ACC000207,2,2,1,6,7,2,30,2,1,2,2,1,3
ACC000208,3,2,1,7,11,7,30,1,1,1,1,1,5
ACC000209,3,1,1,7,11,2,60,1,4,1,4,1,3
ACC000210,3,1,1,2,18,9,30,0,7,2,1,1,2
ACC000211,2,2,1,4,12,9,30,1,1,2,1,1,11
ACC000212,3,1,2,5,18,2,70,0,5,2,1,1,1
ACC000213,2,2,1,1,12,12,30,1,1,1,1,2,3
ACC000214,3,2,2,2,12,2,30,1,1,3,5,1,1
ACC000215,3,2,1,5,8,2,30,0,1,1,2,2,3
ACC000216,2,1,1,4,9,1,60,1,1,1,2,2,1
ACC000217,2,1,2,1,16,2,50,0,1,3,1,1,1
ACC000218,1,2,1,1,21,2,30,1,5,2,1,2,11
ACC000219,2,2,2,5,11,1,60,1,1,5,5,1,1
ACC000220,3,2,1,4,9,9,30,0,1,2,1,1,1
ACC000221,3,2,1,1,18,1,70,0,5,2,1,1,3
ACC000222,3,3,1,5,4,2,70,1,4,1,1,1,2
ACC000223,2,2,1,4,9,1,50,0,1,1,1,2,5
ACC000224,3,2,2,1,12,9,50,1,7,1,2,2,3
ACC000225,3,3,2,5,5,7,30,0,5,1,1,1,1
ACC000226,3,4,1,5,20,9,30,0,1,8,3,2,1
ACC000227,3,2,1,5,19,6,30,0,5,1,1,1,1
ACC000228,3,4,1,7,10,12,60,0,4,6,1,1,3
ACC000229,3,2,2,4,8,2,30,0,1,2,3,1,5
ACC000230,3,1,1,4,13,1,70,0,4,4,2,2,1
ACC000231,3,2,3,5,18,1,30,1,1,2,2,2,11
ACC000232,3,3,1,4,6,1,70,2,4,2,1,1,1
ACC000233,2,2,2,1,9,2,70,0,1,2,1,1,9
ACC000234,3,2,3,4,11,2,50,2,1,1,4,1,11
ACC000235,1,2,1,4,8,2,70,0,1,3,2,2,3
ACC000236,3,1,4,5,9,2,70,0,1,1,1,1,9
ACC000237,3,3,1,3,16,7,50,0,6,1,1,1,5
ACC000238,3,3,4,3,18,7,70,1,7,2,1,2,11
ACC000239,3,3,1,6,6,7,30,0,4,1,3,1,11
ACC000240,2,2,2,2,6,9,30,1,1,7,2,1,1
ACC000241,3,1,2,6,10,9,30,1,1,7,2,1,11
ACC000242,3,2,4,6,18,3,30,1,1,6,2,1,2
ACC000243,3,2,3,5,17,12,40,1,1,1,4,2,3
ACC000244,3,2,2,7,22,1,30,4,1,1,2,1,11
ACC000245,1,3,2,1,9,9,30,1,7,6,1,1,4
ACC000246,3,2,1,2,16,1,30,1,1,1,1,1,1
ACC000247,3,1,1,1,19,1,20,2,1,8,2,1,1
ACC000248,3,2,1,2,16,7,60,2,1,8,1,1,9
ACC000249,3,2,1,1,15,3,30,2,1,5,2,1,9
ACC000250,3,2,3,1,3,1,60,4,1,1,1,2,1
ACC000251,3,3,2,3,21,1,30,0,1,1,1,1,1
ACC000252,3,4,2,1,15,2,60,1,1,5,1,2,1
ACC000253,3,3,1,5,17,12,60,1,1,1,1,2,3
ACC000254,3,3,1,1,20,9,30,1,4,1,1,1,3
ACC000255,2,2,2,2,2,3,30,2,4,2,1,1,11
ACC000256,2,3,2,7,11,9,20,2,1,7,1,1,9
ACC000257,3,2,1,7,15,2,40,1,1,2,1,2,3
ACC000258,3,1,1,3,15,2,50,1,1,2,3,2,9
ACC000259,3,2,2,3,18,7,30,2,1,1,1,2,1
ACC000260,3,1,1,2,17,3,40,2,4,2,1,1,9
ACC000261,3,2,1,4,7,2,70,0,1,9,2,1,3
ACC000262,3,2,3,4,12,2,70,2,4,1,3,1,5
ACC000263,3,2,2,6,13,9,30,1,1,2,1,2,1
ACC000264,3,2,1,6,12,2,30,2,5,5,1,1,3
ACC000265,3,3,1,6,8,1,30,2,5,3,2,2,1
ACC000266,3,2,3,4,9,12,60,1,1,2,1,1,1
ACC000267,2,2,1,2,16,7,30,1,6,3,3,2,1
ACC000268,3,4,5,2,15,2,30,0,7,1,1,2,3
ACC000269,3,3,1,3,18,12,50,1,1,1,2,2,5
ACC000270,3,2,4,2,15,2,30,0,4,4,2,1,9
ACC000271,1,2,4,2,14,2,30,0,1,4,1,2,4
ACC000272,1,1,1,2,5,6,70,0,1,5,1,2,1
ACC000273,3,3,3,5,10,3,30,0,1,6,1,2,11
ACC000274,3,2,1,5,0,1,30,0,1,2,2,1,3
ACC000275,3,3,1,1,12,12,60,0,1,2,4,2,3
ACC000276,3,3,1,4,19,2,50,0,1,4,1,1,1
ACC000277,2,1,1,2,11,2,30,0,1,2,1,2,9
ACC000278,3,3,4,3,9,9,30,0,6,3,2,1,5
ACC000279,3,2,1,1,15,9,30,2,4,4,1,1,1
ACC000280,3,2,1,6,6,1,30,2,5,6,1,1,3
ACC000281,2,2,1,1,10,7,20,1,1,1,4,2,11
ACC000282,2,2,1,3,5,6,70,0,1,1,4,1,5
ACC000283,3,2,1,1,14,2,30,2,1,1,3,1,5
ACC000284,3,2,1,2,10,12,30,2,6,2,1,1,1
ACC000285,3,1,1,5,16,12,50,1,1,1,1,2,1
ACC000286,3,2,1,1,12,3,30,1,6,2,2,1,5
ACC000287,1,2,1,3,10,2,60,4,4,2,1,1,1
ACC000288,3,3,1,6,15,1,30,0,6,1,1,1,1
ACC000289,3,3,1,3,12,1,60,0,4,2,2,1,3
ACC000290,3,2,1,6,19,9,30,2,1,1,2,1,1
ACC000291,3,1,1,5,15,3,30,0,1,1,2,1,9
ACC000292,3,2,1,3,0,3,70,0,1,4,1,2,11
ACC000293,3,2,4,5,9,3,70,4,4,1,2,2,1
ACC000294,3,2,1,4,9,2,60,2,7,1,2,1,1
ACC000295,3,2,1,3,11,1,30,1,1,2,1,2,5
ACC000296,3,1,3,1,12,9,40,0,4,4,1,1,9
ACC000297,3,4,1,2,15,3,50,4,6,1,2,1,1
ACC000298,3,2,1,4,14,9,70,1,1,2,1,1,4
ACC000299,3,4,2,3,6,9,60,2,1,1,1,1,1
ACC000300,3,2,2,5,9,9,50,0,5,1,1,1,11
ACC000301,3,2,3,3,16,9,30,0,1,2,3,2,4
ACC000302,1,3,1,1,10,6,30,2,4,2,1,1,1
ACC000303,3,1,1,1,10,2,30,0,4,2,1,1,1
ACC000304,3,1,1,2,8,2,70,0,5,3,1,2,1
ACC000305,2,4,2,6,11,9,60,0,1,8,5,1,9
ACC000306,3,1,2,5,19,6,30,0,1,2,5,1,4
ACC000307,3,3,1,1,14,3,60,0,6,1,1,1,1
ACC000308,2,3,1,1,12,2,30,0,1,4,4,2,3
ACC000309,3,2,2,5,8,2,50,0,5,1,2,1,11
ACC000310,3,2,1,6,15,9,30,1,1,1,2,1,5
ACC000311,2,2,1,3,9,1,70,1,5,1,1,1,9
ACC000312,3,3,2,3,2,1,30,1,1,1,1,2,9
ACC000313,2,2,1,3,8,2,70,2,1,8,2,2,2
ACC000314,2,2,1,4,16,12,30,4,1,5,1,1,3
ACC000315,2,2,1,5,21,9,70,1,6,2,4,2,9
ACC000316,3,2,2,7,15,2,30,1,1,1,3,1,3
ACC000317,3,1,1,5,10,9,60,2,1,1,2,2,11
ACC000318,2,2,1,7,18,3,30,2,4,1,1,2,11
ACC000319,3,2,2,3,7,2,60,2,1,1,1,1,3
ACC000320,3,2,2,1,9,7,30,4,4,2,1,1,4
ACC000321,3,2,1,2,11,2,20,0,1,3,4,2,2
ACC000322,3,3,1,4,7,1,30,1,4,2,2,1,5
ACC000323,2,2,2,7,7,2,60,0,6,1,1,1,1
ACC000324,2,2,1,7,19,1,60,1,1,7,2,1,1
ACC000325,2,2,2,2,6,2,50,0,4,3,1,2,1
ACC000326,3,2,1,5,10,9,40,1,1,2,1,2,1
ACC000327,3,2,1,4,6,1,20,1,1,2,1,2,2
ACC000328,2,1,3,7,8,2,30,1,1,1,3,2,3
ACC000329,3,2,1,6,6,7,70,1,1,1,2,1,9
ACC000330,3,4,1,7,17,6,30,2,1,1,1,2,1
ACC000331,3,2,3,3,18,9,60,1,1,4,1,1,9
ACC000332,3,2,2,1,18,2,40,0,1,1,1,1,2
ACC000333,2,2,2,4,16,3,70,0,4,1,2,1,1
ACC000334,3,2,3,5,18,12,30,0,4,1,1,1,4
ACC000335,3,2,4,2,18,7,30,4,1,1,1,1,11
ACC000336,3,1,2,4,14,9,30,2,7,5,1,2,9
ACC000337,3,1,1,5,18,2,50,0,1,3,4,2,1
ACC000338,3,2,2,2,12,2,30,2,1,2,1,1,1
ACC000339,3,2,2,6,21,6,50,0,1,1,4,1,2
ACC000340,3,2,1,1,9,7,30,0,1,2,1,2,11
ACC000341,2,2,1,3,21,2,20,0,1,2,3,1,11
ACC000342,3,3,1,7,9,7,30,4,1,1,2,2,11
ACC000343,3,1,2,4,15,2,30,0,1,1,3,1,1
ACC000344,3,2,1,7,17,2,30,1,4,1,1,1,11
ACC000345,2,1,3,7,15,1,60,0,1,2,1,1,1
ACC000346,3,2,1,7,19,12,70,0,4,2,1,1,1
ACC000347,2,2,1,3,15,7,30,0,4,1,1,2,1
ACC000348,3,2,1,2,8,2,70,1,1,1,4,1,3
ACC000349,3,1,3,3,11,9,30,4,1,2,1,2,5
ACC000350,3,2,2,1,15,7,70,1,4,2,5,2,1
ACC000351,3,4,1,2,8,1,20,1,7,5,2,1,2
ACC000352,3,4,1,2,21,12,50,0,1,2,3,2,1
ACC000353,3,2,1,6,18,9,50,0,6,1,1,1,11
ACC000354,3,1,1,4,12,2,60,0,6,1,1,1,9
ACC000355,3,2,1,3,19,9,30,1,1,2,1,1,1
ACC000356,3,2,3,3,19,9,30,4,4,1,2,2,9
ACC000357,3,4,1,2,21,12,50,4,1,2,5,1,9
ACC000358,3,1,1,5,11,2,30,2,6,7,1,1,2
ACC000359,3,2,3,5,8,3,60,1,1,2,2,2,4
ACC000360,3,2,3,5,8,1,70,1,7,1,1,2,2
ACC000361,3,2,1,6,17,1,60,2,1,2,5,2,1
ACC000362,3,2,2,6,6,1,60,1,1,2,3,1,3
ACC000363,2,2,1,2,18,2,40,0,1,2,1,2,9
ACC000364,3,3,4,6,4,9,60,4,1,7,2,1,5
ACC000365,3,1,1,3,7,9,70,1,1,1,2,1,1
ACC000366,3,2,2,1,14,3,70,0,1,8,2,1,2
ACC000367,2,1,1,4,9,9,70,0,4,6,1,1,1
ACC000368,1,2,5,2,21,9,30,1,1,1,3,2,3
ACC000369,3,2,3,6,15,2,30,2,1,1,1,1,5
ACC000370,3,2,1,3,11,12,60,2,1,1,2,2,2
ACC000371,3,2,1,7,11,2,30,0,1,1,1,1,1
ACC000372,2,1,3,4,12,9,30,1,1,1,2,2,3
ACC000373,2,2,1,2,16,9,30,0,4,2,4,1,1
ACC000374,3,3,2,7,7,7,20,2,4,1,1,2,1
ACC000375,3,2,1,3,12,3,60,0,5,1,3,2,1
ACC000376,3,1,1,6,8,1,30,0,4,5,1,1,1
ACC000377,3,2,1,4,17,1,30,1,1,1,1,1,2
ACC000378,3,4,1,2,14,3,30,0,1,4,1,2,9
ACC000379,3,2,1,4,9,1,30,2,6,1,2,2,2
ACC000380,3,3,1,7,12,1,70,2,1,1,1,2,1
ACC000381,2,2,1,3,7,9,70,2,7,2,4,2,11
ACC000382,3,2,3,1,17,7,40,2,7,2,1,1,5
ACC000383,2,2,1,2,17,6,20,0,1,5,2,1,1
ACC000384,3,2,2,5,12,12,20,0,1,3,2,1,1
ACC000385,3,1,2,5,14,2,70,2,5,4,1,1,2
ACC000386,3,1,2,6,7,2,40,1,6,1,3,1,9
ACC000387,3,2,1,3,9,12,70,0,5,1,1,1,5
ACC000388,3,2,2,1,18,6,60,0,5,4,3,2,1
ACC000389,1,3,2,3,0,7,70,0,4,4,1,1,11
ACC000390,2,4,1,3,19,2,30,1,1,9,1,2,1
ACC000391,3,3,2,2,19,1,30,0,4,1,4,2,3
ACC000392,3,2,1,5,19,2,30,1,1,1,2,1,5
ACC000393,3,2,3,2,13,3,30,0,4,4,2,1,1
ACC000394,3,1,1,3,20,2,30,1,1,1,1,2,1
ACC000395,3,1,2,4,12,7,60,1,1,7,1,1,1
ACC000396,2,2,4,5,22,2,60,1,1,5,2,1,11
ACC000397,3,2,5,6,10,1,60,1,1,1,2,1,1
ACC000398,2,2,1,5,16,12,60,2,1,4,1,2,1
ACC000399,2,2,4,4,15,9,60,2,6,4,1,2,2
ACC000400,3,2,1,5,17,3,50,0,1,1,4,2,4
ACC000401,3,2,1,1,5,3,40,1,1,6,4,2,9
ACC000402,2,1,3,6,20,2,70,2,1,2,1,2,1
ACC000403,3,2,4,4,17,1,20,0,1,4,2,2,1
ACC000404,2,1,1,7,10,2,30,1,1,1,1,2,1
ACC000405,3,4,2,4,22,9,60,0,7,6,3,2,11
ACC000406,3,2,1,3,16,12,60,1,1,1,1,1,1
ACC000407,3,2,1,6,12,1,30,0,1,1,2,2,9
ACC000408,2,3,1,6,8,2,60,2,1,6,2,1,1
ACC000409,3,4,1,5,7,7,60,1,1,1,1,2,5
ACC000410,3,3,2,3,7,2,60,0,1,1,2,1,11
ACC000411,3,2,2,5,17,7,50,0,1,7,1,2,11
ACC000412,3,2,1,4,15,6,70,2,1,7,1,2,1
ACC000413,3,1,2,7,12,2,60,0,1,2,1,1,1
ACC000414,1,1,2,1,9,1,60,4,6,2,5,1,11
ACC000415,3,1,2,2,7,1,30,0,1,1,4,1,1
ACC000416,3,3,3,1,8,9,40,1,5,1,3,1,1
ACC000417,3,1,1,2,14,2,50,1,1,1,3,1,1
ACC000418,2,4,2,7,13,9,30,0,1,2,1,2,3
ACC000419,3,2,4,5,18,2,30,2,1,4,1,2,3
ACC000420,3,2,1,6,4,2,30,0,4,4,4,1,2
ACC000421,2,2,4,1,8,2,30,0,7,4,1,2,11
ACC000422,2,2,1,6,7,7,40,2,1,1,5,2,1
ACC000423,3,3,1,5,13,9,30,0,1,2,2,2,1
ACC000424,2,3,2,3,18,1,40,0,1,1,2,2,1
ACC000425,2,2,4,1,1,1,70,4,5,2,1,1,2
ACC000426,2,2,1,7,11,7,70,4,5,1,1,2,3
ACC000427,2,2,1,3,2,1,70,0,1,5,2,1,1
ACC000428,3,2,2,1,3,1,30,2,1,1,1,1,9
ACC000429,3,2,1,5,8,6,70,4,1,1,1,1,1
ACC000430,3,2,2,7,16,7,60,0,1,1,1,1,1
